ID	extID	name	tooltipbase	tilemap	graphicstype	enabled	parity	x	y	itemmemory	rng	overlap	nointeract	enemy	item	standable	warp
0x067	3	bubbled 1up	<i>Global</i><br> Becomes visible only when a Chomp Rock rolls over it. Otherwise has no collision.	t187 p10 x+12 y-1 o50; t1A7 p10 x+F y+2 o50; t187 p10 x-A y-1 fx o50; t1A7 p10 x-7 y+2 fx o50; t18C p10 r16 o50; t89 p18 x-1 y+6 o50; tCE p18 r16,8 x+1 y+6 o50; tEE p10 r16 x+8 y-4 o50; tEE p10 r16 x+8 y+8 fy o50; tEE p10 r16 x-8 y+8 fxy o50; t12C p10 r16 x-8 y-4 o50													
0x068	None	Egg block, flashing	When bumped from below, transforms into a flashing egg with a red coin.	t180 p14 r16		3				2	0	0	0	0	1	1	0
0x069	None	Egg block, red	When bumped from below, transforms into a red egg with 2 stars.	t180 p11 r16		3				2	0	0	0	0	1	1	0
0x06A	None	Egg block, yellow	When bumped from below, transforms into a yellow egg with a yellow coin.	t180 p12 r16		3				2	0	0	0	0	1	1	0
0x06B	None	Egg block, green, bounce sprite	Launches an egg to the left each time it's spawned, and replaces the layer 1 tile it's overlapping with a green egg block.	t180 p10 r16 a17		2											
0x06C	None	Bounce arrow, large	Gives Yoshi a very high jump when bounced on.	d082A9024 p10 r32 x-8 y-8		3					0	0	0	0	1	1	0
0x06D	None	Propeller Piranha, clockwise	A blue Piranha Plant that moves along walls.	d082941A4 p12 r32 x-8 y-10 fxy		3						0	0	1			
0x06E	None	Propeller Piranha, counterclockwise	A blue Piranha Plant that moves along walls.	d082941A4 p12 r32 x-8 y-10		3						0	0	1			
0x06F	None	Bounce arrow, small	Gives Yoshi a high jump when bounced on.	t182 p10 r16		3						0	0		1	1	
0x070	None	Clawdaddy	A crab that attacks by extending and rotating a large claw. Takes 3 eggs or 1 ground pound to kill.	s35 t0C p11 r32,16 x-8; s35 t09 p11 r24,16 y-10; d082940A4 p11 r32 x-1E y-19 a11 m0.9		3						0	0	1			
0x071	None	Boo			See tooltip	3	3					0	0	1			
0x071	0	large + 3x small	<i>Stripe 61+48 next</i><br> A group of 4 ghosts that move only when Yoshi's back is turned. If the leader dies, all 4 die and drop stars.	s61 t00 p11 r32,16 x-8 y-8; s61 t08 p11 r32,16 x-8 y+8; s61 t26 p11 r16 x+14 y-4; s61 t26 p11 r16 x+20 y-4; s61 t26 p11 r16 x+2C y-4													
0x071	1	large	<i>Stripe 61</i><br> A ghost that moves only when Yoshi's back is turned. Can be defeated with an egg ricochet, and drops a star.	s61 t00 p11 r32,16 x-8 y-8; s61 t08 p11 r32,16 x-8 y+8													
0x071	2	large + 3x small	<i>Stripe 61+48 next</i><br> A group of 4 ghosts that move only when Yoshi's back is turned. If the leader dies, all 4 die and drop stars.	s61 t00 p11 r32,16 x-8 y-8; s61 t08 p11 r32,16 x-8 y+8; s61 t26 p11 r16 x+14 y-4; s61 t26 p11 r16 x+20 y-4; s61 t26 p11 r16 x+2C y-4													
0x071	3	small	<i>Stripe 61</i><br> A ghost that moves only when Yoshi's back is turned. Can be defeated with an egg ricochet, and drops a star.	s61 t26 p11 r16													
0x072	None	Train Shy Guy	An outlined Shy Guy that only moves and has collision when Yoshi's on a track as train morph.	s2E t08 p14 r16		3						0	0	1			
0x073	None	Giant red balloon pumping station	A pump next to a giant red balloon. The more the pump is pounded before standing on the balloon, the farther the balloon travels.		L3=? + Stripe 65	3						0	0			1	
0x074	None	Spike (Mace Penguin)	Spits and launches spiked balls horizontally.	s26 t00 p12 r16; d08294EA4 p12 r16 x-8 y-8 o80		3						0	0	1			
0x075	None	Spike (Mace Penguin)'s spiked ball	(doesn't spawn when placed directly)			1						0	0	1			
0x076	None	Piro Dangle, clockwise	A Sparky-like fireball that moves along walls, growing and shrinking over time.	d08294f64 p11 r16 m2 fxy; s45 t02 p11 y+5; s45 t02 p11 x+8 y+4 fx		3						0	0	1			
0x077	None	Piro Dangle, counterclockwise	A Sparky-like fireball that moves along walls, growing and shrinking over time.	d08294f64 p11 r16 m2 fy; s45 t02 p11 y+4; s45 t02 p11 x+8 y+5 fx		3						0	0	1			
0x078	None	Bullet Bill Blaster, red	Fires homing red Bullet Bills.	s31 t02 p11 r16 y-8; s31 t00 p11 r16	Stripe 31 + Dynamic	3						0	0	1			
0x079	None	Bullet Bill Blaster, yellow	Rotates and fires diagonal yellow Bullet Bills that bounce off walls.	s31 t02 p12 r16 y-8 a-30; s31 t00 p12 r16	Stripe 31 + Dynamic	3						0	0	1			
0x07A	None	Bullet Bill Blaster, green	Fires horizontal green Bullet Bills.	s31 t02 p10 r16 y-8; s31 t00 p10 r16	Stripe 31 + Dynamic	3						0	0	1			
0x07B	None	Bullet Bill, red	(glitches when placed directly)			1						0	0	1			
0x07C	None	Bullet Bill, yellow	(glitches when placed directly)			1						0	0	1			
0x07D	None	Bullet Bill, green	(glitches when placed directly)			1						0	0	1			
0x07E	None	Deformed sticky-ceiling platform	Teleports Yoshi to the sprite's height, and allows Yoshi to walk in midair, until the next time you jump.		None	2											
0x07F	None	5-wide unstable log platform	A log pivoting around its central point. If you stand too long on one side, the log falls off.	d08294024 p14 r32 x+12 y-8; d08294024 p14 r32 x-8 y-8; d08294024 p14 r32 x-22 y-8		3						0	0			1	
0x080	None	Lava Bubble, vertical	A fireball that jumps vertically from the location it's placed. Can be eaten to give Yoshi fire breath. Does not actually require lava.	d08299F64 p11 r16; t16E p11 x+4 y+14		3						0	0	1			
0x081	None	Lava Bubble, diagonal, bounces	A fireball that jumps diagonally from the location it's placed, and bounces off walls and floors. Can be eaten to give Yoshi fire breath.	d08299F64 p11 r16 a20; t14E p11 x+8 y+E		3						0	0	1			
0x082	None	Chain Chomp	A Chomp with a chain limiting its movements, which tugs on the chain in Yoshi's direction. The head can suddenly grow to 4x its size.	t16D p10 x-20 y-7; t16D p10 x-15 y-3; t16D p10 x-A y+1; t16D p10 x+1 y+5; d0829A6A4 p11 r16 x-2F y-E		3		5				0	0	1			
0x083	None		(doesn't spawn when placed directly)			1											
0x084	None	Invisible warp	When touched, warps Yoshi to the current screen exit.		None	3					0	0	0	0	0	0	1
0x085	None	Harry Hedgehog	A blue hedgehog, normally small, that grows larger when approached.	s1E t0A p10 r16 o0; d0829CEA4 p10 r32 x-8 y-10		3						0	0	1			
0x086	None	Unused sprite ID				0					0	0	0	0	1	0	0
0x087	None	Red egg with 1up	A red egg that automatically hatches into a 1up.	t100 p11 r16; t200 p19 r32 x-8 y-9 o50		2						0	0		1		
0x088	None	Super Star, bouncing	Transforms Yoshi into Super Baby Mario for a limited time.	d082AA064 p12 r16		3						0	0		1		
0x089	None	3-wide red platform, horizontal	A red platform that moves 5 tiles back and forth horizontally.	t48 p11 r16 x-10; t49 p11 r16; t4A p11 r16 x+10		3						0	0			1	
0x08A	None	3-wide pink platform, vertical	A pink platform that moves 4 tiles back and forth vertically.	t48 p14 r16 x-10; t49 p14 r16; t4A p14 r16 x+10		3						0	0			1	
0x08B	None	1up balloon	If Yoshi eats this before it pops, he lays a red egg that automatically hatches into a 1up.	d0829C1A4 p10 r32 x-8 y-F		3				2	0	0	0	0	1	0	0
0x08C	None	Yoshi, in goal scene	Floats up off-screen.	d082A9EA4 p17 r32 x-10 y-10		1											
0x08D	None	Fly Guy, with item, timed	Flies away after a short time. Sets item memory whether or not the item is collected.			3	3			2	0	0	0	1	1	0	0
0x08D	0	winged cloud (5 stars)		t1CA p10 r16; t04F p11 x+1 y-2 fx; t04F p11 x+6 y-2 fx; t04D p11 y-16; t04D p11 x+8 y-16 fx; t108 p11 r16 y-10; t14A p12 r16 x+5 y+3 o50; t12E p10 x+5 y+D o50; t12E p10 x+C y+D fx o50; t8B p12 x+12 y+B o50													
0x08D	1	red coin		t140 p11 r16; t04F p11 x+1 y-2 fx; t04F p11 x+6 y-2 fx; t04D p11 y-16; t04D p11 x+8 y-16 fx; t108 p11 r16 y-10													
0x08D	2	1up		t1C3 p13 r16 y+1; t89 p18 x-2 y+6; tCE p18 r16,8 y+6; t04F p11 x+1 y-2 fx; t04F p11 x+6 y-2 fx; t04D p11 y-16; t04D p11 x+8 y-16 fx; t108 p11 r16 y-10													
0x08D	3	1up		t1C3 p13 r16 y+1; t89 p18 x-2 y+6; tCE p18 r16,8 y+6; t04F p11 x+1 y-2 fx; t04F p11 x+6 y-2 fx; t04D p11 y-16; t04D p11 x+8 y-16 fx; t108 p11 r16 y-10													
0x08E	None	Boss activator: Baby Bowser	<i>Stripe 67+6A+AD+AE next+AF next+B0 next</i><br> Activates Bowser battle. The phase transition does not use a screen exit.	sAD t1A p16 r16 fy x+4C y-25; sAD t0B p16 r16 fy x+54 y-1D; sAD t0A p16 fy x+4C y-15; sAD t04 p16 x+52 y-2C; sAD t14 p16 r16 x+3E y-26; sAD t05 p16 r16 x+46 y-2E; sAD t26 p16 x+4E y-1E; sAD t36 p16 x+52 y-16; sAD t2C p16 x+48 y-16; sAD t2D p16 x+56 y-16; sAD t05 p16 x+46 y-2E; s67 t0C p11 r16 fy x+1 y+10; s67 t1F p11 fy x-7 y+15; s67 t04 p11 r16 x+A y+10; s67 t00 p11 r16 x+2 y+3; s67 t02 p11 r16 x+1 y+11; s67 t0C p11 r16 fxy x+D y+11	See tooltip	3		2	5			0	0	2			
0x08F	None	Monkey, group of 4 swinging	A group of 4 monkeys that swing back and forth. If one manages to grab Baby Mario, the group splits up and acts like ordinary monkeys.	d0829C024 p10 r32 x-2A y+35 a96; d0829C024 p10 r32 x-29 y+1E a96; d0829C024 p10 r32 x-20 y+9 a60; d0829C024 p10 r32 x-11 y-4 a60	Stripe 64 + Dynamic	3		5	3			0	0	1			
0x090	None	Dangling Ghost			L3=?	3						0	0	1			
0x091	None	Toadies, 0-star	4 Toadies that spawn at the same coordinates and fly off-screen immediately. If you reach 0 stars, both the normal group and manually placed group try to grab Baby Mario, causing glitchiness.	t4C p11 y-6; t4C p11 x+8 y-6 fx; t0E p11 r16		1						0	0	1			
0x092	None	Melon Bug	Harmless to Yoshi; curls into a ball when approached/eaten. The ball form can kill enemies and roll downhill.	s1E t00 p11 r16 y-8; s1E t04 p11 r16,8 y+8		3						0	0	1	1		
0x093	None	Door, normal		d08292264 p10 r16,32 x-8 y-10; d08292264 p10 r16,32 x+8 y-10 fx		3					0	0	0	0	0	0	1
0x094	None	Egg block, pink, grows when hit		d082957A4 p14 r16; d082957A4 p14 r16 y-8 m2 o50		3						0	0		1	1	
0x095	None	Platform block, horizontal	A checkered block that, when hit, becomes a 2-wide platform that moves 5 tiles back and forth horizontally.	d0829A764 p10 r16; d08298024 p10 r32 x-8 y-8 o50		3						0	0			1	
0x096	None	Platform block, vertical	A checkered block that, when hit, becomes a 2-wide platform that moves 4 tiles back and forth horizontally.	d0829A764 p14 r16; d08298024 p14 r32 x-8 y-8 o50		3						0	0			1	
0x097	None	POW block	When bumped from below, transforms all on-screen enemies into stars/coins.	d0829EF24 p11 r32 x-8 y-10		3						0	0		1	1	
0x098	None	Yoshi block	Only spawns when morphed. Transforms Yoshi back to normal.	d0829EFA4 p15 r32 x-D y-11		3						0	0		1		
0x099	None	Spiny egg, from Aqua Lakitu	Floats in midair with a cloud graphic.	s4F t0E p12 r16; t1C5 p13 r16		2						0	0	1			
0x09A	None	Circling 2-wide green platform	A platform that moves in a radius-6 circle counterclockwise around an unhittable egg block.	t48 p10 r32,16 x-F y-54; t16D p10 x-2 y-3E; t16D p10 y-28; t16D p10 x+2 y-12; t180 p10 r16		3			6			0	0			2	
0x09B	None	Mace Guy	A stationary red Shy Guy swinging a large spiked ball horizontally, with several small swings then one 6-tile swing.	s59 t0C p11 r16; t16D p10 x+C y+3; t16D p10 x+10 y+2; t16D p10 x+14 y+1; d08294EA4 p12 r16 x+10 y-4		3						0	0	1			
0x09C	None	Mace Guy's mace	(glitch)			1						0	0	1			
0x09D	None	! switch	When pressed, for a limited time, fills in ! blocks/coins, spawns arrows pointing to hidden ? clouds, and makes ! switch pipes (sprite D1) enterable.	d082921A4 p11 r32 x-8 y-10		3						0	0		1		
0x09E	None	Chomp Rock	Normally gray. Hardcoded to be brown (won't despawn) in certain sublevels.	d082A7F24 p12 r32 x-8 y-E		3					0	0	0	0	1	1	0
0x09F	None	Wild Ptooie Piranha	A green Piranha Plant that spits Needlenoses in an arc. Takes 3 hits to kill, and changes color green-yellow-red when hit.			3	1					0	0	1			
0x09F	0	1 Needlenose		s29 t1A p11 y+8; s29 t1A p11 fx x+8 y+8; s29 t0A p11 x+4; d08297224 p10 r32 x-13 y-1B a-45													
0x09F	1	3 Needlenoses	A green Piranha Plant that spits Needlenoses in an arc. The third Needlenose of each set travels less distance. Takes 3 hits to kill, and changes color green-yellow-red when hit.	s29 t1A p11 y+8; s29 t1A p11 fx x+8 y+8; s29 t0A p11 x+4; d082971A4 p10 r32 x-13 y-1B a-45													
0x0A0	None	Tulip	If an enemy/egg lands inside, spawns 8 stars.	d082A3224 p11 r32 x-A y-7; d082A3224 p11 r32 x-7 y-7 fx; d082A3164 p11 r16,32 y-8		3				2	0	0	0	0	1	0	0
0x0A1	None	Spiked Fun Guy's pot	A stationary edible plant pot.	s36 t0E p14 r16		3						0	0				
0x0A2	None	Thunder Lakitu's fireball	Falls to the ground and spawns a single upward fireball.	s4B t19 p12 fx; s4B t19 p12 x+8; s4B t19 p12 y+8 fxy; s4B t19 p12 x+8 y+8 fy	Stripe 4B in slot 5	2						0	0	1			
0x0A3	None	Bandit, hiding, peeks left	Hides behind layer 1 and grabs Baby Mario if you walk by. Can be revealed with Yoshi's tongue.	s4E t08 p10 r16 x-4 y-A o50; s4E t0A p10 x-4 y+5 o50; s4E t0B p10 x+4 y+5 o50; s4E t1E p10 x+7 y+8 o50; s4E t1E p10 x-4 y+8 o50		3						0	0	1			
0x0A4	None	Bandit, hiding, peeks right	Hides behind layer 1 and grabs Baby Mario if you walk by. Can be revealed with Yoshi's tongue.	s4E t08 p10 r16 x+2 y-A fx o50; s4E t0A p10 x+8 y+5 o50; s4E t0B p10 x+2 y+5 o50; s4E t1E p10 x-1 y+8 o50; s4E t1E p10 x+A y+8 o50		3						0	0	1			
0x0A5	None	Nep-Enut/Gargantua Blargg			L3=?	3						0	0	1			
0x0A6	None	Incoming Chomp, single	Destroys 4 columns, at x+E to x+11 from its spawn coordinates. Only compatible with layer 1 tilesets 1/7/11.	s1B t05 p16 r16	Stripe 1B + Dynamic	3						0	0	1			
0x0A7	None	Incoming Chomp, cluster	Destroys sets of 4 columns, where the low digit of X is 2-5 or B-E, for about 1 screen left and 2 screens right of its spawn coordinates. Only compatible with layer 1 tilesets 1/7/11.	s1B t05 p16 r16 y-4; s1B t05 p16 r16 x-9; s1B t05 p16 r16 x+9 y+3 fx	Stripe 1B + Dynamic	3						0	0	1			
0x0A8	None	Incoming Chomp, single, from cluster	Destroys a single valid column from sprite 0A7, with no animation of moving upward.		Stripe 1B + Dynamic	1						0	0	1			
0x0A9	None	Incoming Chomp's shadow	Floats in midair and does nothing.	s1B t00 p17 r32,16 x-18 y+7; s1B t00 p17 r32,16 x+18 y+7 fx		1						0	1	0	0	0	0
0x0AA	None	Background Shy Guy decoration	Decorative. Moves with layer 2, not layer 1.	s1B t04 p16 x+4 y+4		3							1	0	0	0	0
0x0AB	None	Full egg inventory item	Causes eggs to drop onto Yoshi until all egg slots are full.	t100 p10 r16 y-8; t100 p10 r16		2						0	0		1		
0x0AC	None	Bowser's falling rock, destroys ground	(doesn't spawn when placed directly)			1						0	0	1			
0x0AD	None	Message block	Displays one of 4 messages corresponding to the current level ID.	d082A86E4 p11 r16		3	3				0	0	0	0	1	1	0
0x0AD	0	message 0															
0x0AD	1	message 1															
0x0AD	2	message 2															
0x0AD	3	message 3															
0x0AE	None	Hookbill the Koopa	Boss activator.			3					0	0	0	2	0	0	0
0x0AF	None	Morph bubble, car	Transforms Yoshi into a car, which can extend wheels with A/B, and boost up vertical walls.			3	3			0	0	0	0	0	1	0	0
0x0AF	0	in ? cloud		t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; d082A8224 p15 r16 x+5 y+5 o50													
0x0AF	1	normal		d082A8224 p15 r16; t12C p10 r16 x-7 y-7; tEE p10 r16 x+7 y-7; tEE p10 r16 x-7 y+7 fxy; tEE p10 r16 x+7 y+7 fy													
0x0AF	2	???															
0x0AF	3	moving horizontally		d082A8224 p15 r16 fx; t12C p10 r16 x-7 y-7; tEE p10 r16 x+7 y-7; tEE p10 r16 x-7 y+7 fxy; tEE p10 r16 x+7 y+7 fy													
0x0B0	None	Morph bubble, mole tank	Transforms Yoshi into a mole tank, which can dig through dirt and climb walls/ceilings.			3	3			0	0	0	0	0	1	0	0
0x0B0	0	in ? cloud		t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; d082A8264 p15 r16 x+5 y+5 o50													
0x0B0	1	normal		d082A8264 p15 r16; t12C p10 r16 x-7 y-7; tEE p10 r16 x+7 y-7; tEE p10 r16 x-7 y+7 fxy; tEE p10 r16 x+7 y+7 fy													
0x0B0	2	???															
0x0B0	3	moving horizontally		d082A8264 p15 r16 fx; t12C p10 r16 x-7 y-7; tEE p10 r16 x+7 y-7; tEE p10 r16 x-7 y+7 fxy; tEE p10 r16 x+7 y+7 fy													
0x0B1	None	Morph bubble, helicopter	Transforms Yoshi into a helicopter, which can fly through the air.			3	3			0	0	0	0	0	1	0	0
0x0B1	0	in ? cloud		t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; d082A8A24 p15 r16 x+5 y+5 o50													
0x0B1	1	normal		d082A8A24 p15 r16; t12C p10 r16 x-7 y-7; tEE p10 r16 x+7 y-7; tEE p10 r16 x-7 y+7 fxy; tEE p10 r16 x+7 y+7 fy													
0x0B1	2	???															
0x0B1	3	moving horizontally		d082A8A24 p15 r16 fx; t12C p10 r16 x-7 y-7; tEE p10 r16 x+7 y-7; tEE p10 r16 x-7 y+7 fxy; tEE p10 r16 x+7 y+7 fy													
0x0B2	None	Morph bubble, train	Transforms Yoshi into a train, which can move along background tracks and dash with A/B.			3	3			0	0	0	0	0	1	0	0
0x0B2	0	in ? cloud		t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; d082A8A64 p15 r16 x+5 y+5 o50													
0x0B2	1	normal		d082A8A64 p15 r16; t12C p10 r16 x-7 y-7; tEE p10 r16 x+7 y-7; tEE p10 r16 x-7 y+7 fxy; tEE p10 r16 x+7 y+7 fy													
0x0B2	2	???															
0x0B2	3	moving horizontally		d082A8A64 p15 r16 fx; t12C p10 r16 x-7 y-7; tEE p10 r16 x+7 y-7; tEE p10 r16 x-7 y+7 fxy; tEE p10 r16 x+7 y+7 fy													
0x0B3	None	Cloud from eating Fuzzy				1											
0x0B4	None	Morph bubble, submarine	Transforms Yoshi into a submarine, which can travel underwater and shoot torpedoes with A/B.			3	3			0	0	0	0	0	1	0	0
0x0B4	0	in ? cloud		t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; d082AA864 p15 r16 x+5 y+5 o50													
0x0B4	1	normal		d082AA864 p15 r16; t12C p10 r16 x-7 y-7; tEE p10 r16 x+7 y-7; tEE p10 r16 x-7 y+7 fxy; tEE p10 r16 x+7 y+7 fy													
0x0B4	2	???															
0x0B4	3	moving horizontally		d082AA864 p15 r16 fx; t12C p10 r16 x-7 y-7; tEE p10 r16 x+7 y-7; tEE p10 r16 x-7 y+7 fxy; tEE p10 r16 x+7 y+7 fy													
0x0B5	None	Winged cloud, invisible	Becomes visible when touched by Yoshi or hit by certain items.	t187 p10 x+12 y-1 o50; t1A7 p10 x+F y+2 o50; t187 p10 x-A y-1 fx o50; t1A7 p10 x-7 y+2 fx o50; t18C p10 r16 o50	Global/Dynamic	3	3			2	0	0	0	0	1	0	0
0x0B5	0	1up		t187 p10 x+12 y-1 o50; t1A7 p10 x+F y+2 o50; t187 p10 x-A y-1 fx o50; t1A7 p10 x-7 y+2 fx o50; t18C p10 r16 o50; t200 p19 r32 x-8 y-3 o50													
0x0B5	1	5 stars		t187 p10 x+12 y-1 o50; t1A7 p10 x+F y+2 o50; t187 p10 x-A y-1 fx o50; t1A7 p10 x-7 y+2 fx o50; t18C p10 r16 o50; t14A p12 r16 x+5 y+3 o50; t12E p10 x+5 y+D o50; t12E p10 x+C y+D fx o50; t8B p12 x+12 y+B o50													
0x0B5	2	! switch		t187 p10 x+12 y-1 o50; t1A7 p10 x+F y+2 o50; t187 p10 x-A y-1 fx o50; t1A7 p10 x-7 y+2 fx o50; t18C p10 r16 o50; d082921A4 p11 r32 x-8 y-6 o50													
0x0B5	3	5 stars		t187 p10 x+12 y-1 o50; t1A7 p10 x+F y+2 o50; t187 p10 x-A y-1 fx o50; t1A7 p10 x-7 y+2 fx o50; t18C p10 r16 o50; t14A p12 r16 x+5 y+3 o50; t12E p10 x+5 y+D o50; t12E p10 x+C y+D fx o50; t8B p12 x+12 y+B o50													
0x0B6	None	Winged cloud, ring of 8 coins	When activated, spawns a ring of up to 8 coins on layer 1, at the depicted position or 1 tile right. The cloud and all coins set item memory.	t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; l1 t240 p2 r16,8 o50 x-10 y-20; l1 t242 p2 r16,8 o50 x-10 y-18; l1 t240 p2 r16,8 o50 x+10 y-20; l1 t242 p2 r16,8 o50 x+10 y-18; l1 t240 p2 r16,8 o50 x+20 y-10; l1 t242 p2 r16,8 o50 x+20 y-8; l1 t240 p2 r16,8 o50 x+20 y+10; l1 t242 p2 r16,8 o50 x+20 y+18; l1 t240 p2 r16,8 o50 x+10 y+20; l1 t242 p2 r16,8 o50 x+10 y+28; l1 t240 p2 r16,8 o50 x-10 y+20; l1 t242 p2 r16,8 o50 x-10 y+28; l1 t240 p2 r16,8 o50 x-20 y+10; l1 t242 p2 r16,8 o50 x-20 y+18; l1 t240 p2 r16,8 o50 x-20 y-10; l1 t242 p2 r16,8 o50 x-20 y-8		3				3	0	1	0	0	1	0	0
0x0B7	None	Winged cloud, bubbled 1up	When activated, spawns a bubbled 1up. If your star count is 10n+3, spawns a bubbled 3up instead.	t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; t89 p18 x-1 y+6 o50; tCE p18 r16,8 x+1 y+6 o50; tEE p10 r16 x+8 y-4 o50; tEE p10 r16 x+8 y+8 fy o50; tEE p10 r16 x-8 y+8 fxy o50; t12C p10 r16 x-8 y-4 o50		3				2	0	0	0	0	1	0	0
0x0B8	None	Winged cloud, Special Flower		t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; d08293F24 p11 r32 x-8 y-8 o50		3				2	0	0	0	0	1	0	0
0x0B9	None	Winged cloud, POW block effect	When activated, transforms all on-screen enemies into stars/coins.	t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16		3				2	0	0	0	0	1	0	0
0x0BA	None	Winged cloud, red stairs	When activated, falls to the ground and spawns stairs on layer 1. The stairs won't grow through most layer 1 tiles.			3	1			0	0	0	0	0	1	0	0
0x0BA	0	up-right		t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; l1 tBE p1 r16,8 x+8 y+8 o50; l1 tBE p1 r16,8 x+10 o50													
0x0BA	1	up-left		t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; l1 tBE p1 r16,8 x-8 y+8 o50; l1 tBE p1 r16,8 x-10 o50													
0x0BB	None	Winged cloud, red bridge	When activated, falls to the ground and spawns a horizontal bridge on layer 1. The bridge won't grow through most layer 1 tiles.			3	1			0	0	0	0	0	1	0	0
0x0BB	0	right		t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; l1 tBE p1 r16,8 y+8 o50; l1 tBE p1 r16,8 x+10 y+8 o50													
0x0BB	1	left		t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; l1 tBE p1 r16,8 y+8 o50; l1 tBE p1 r16,8 x-10 y+8 o50													
0x0BC	None	Winged cloud, Bandit		t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; s4E t08 p10 r16 x0 y-6 o50; s4E t0A p10 x0 y+9 o50; s4E t0B p10 x+8 y+9 o50; s4E t1E p10 x+B y+C o50; s4E t1E p10 x0 y+C o50		3				0	0	0	0	1	0	0	0
0x0BD	None	Winged cloud, 1 coin (tile)	When activated, spawns a coin on layer 1.	t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; l1 t240 p2 r16,8 o50 x+5 y+5; l1 t242 p2 r16,8 o50 x+5 y+D		3				2	0	1	0	0	1	0	0
0x0BE	None	Winged cloud, 1up		t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; t200 p19 r32 x-8 y-3 o50		3	1			2	0	0	0	0	1	0	0
0x0BE	0	stationary															
0x0BE	1	flying horizontally															
0x0BF	None	Winged cloud, key		t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; t1CE p11 r16 x+5 y+5 o50		3				2	0	0	0	0	1	0	0
0x0C0	None	Winged cloud, 3 stars		t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; t14A p12 r16 x+5 y+3 o50; t12E p10 x+5 y+D o50; t12E p10 x+C y+D fx o50; t8A p12 x+12 y+B o50		3				2	0	0	0	0	1	0	0
0x0C1	None	Winged cloud, 5 stars		t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; t14A p12 r16 x+5 y+3 o50; t12E p10 x+5 y+D o50; t12E p10 x+C y+D fx o50; t8B p12 x+12 y+B o50		3				2	0	0	0	0	1	0	0
0x0C2	None	Winged cloud, door		t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; d08292264 p10 r16,32 x-8 y-10 o50; d08292264 p10 r16,32 x+8 y-10 fx o50		3				0	0	0	0	0	1	0	1
0x0C3	None	Winged cloud, lowers land barrier	When activated, a short cutscene modifies layer 1 to the right of its location.	t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16	L1=0 1 4 7 8 9 D F 11?	3				0	0	0	0	0	1	0	0
